Grupos de edad;Mujeres;Varones;Provincia
0 a 4;0,034253133;-0,039308711;Tierra del Fuego
5 a 9;0,03352673;-0,03844589;Tierra del Fuego
10 a 14;0,032892464;-0,037694716;Tierra del Fuego
15 a 19;0,032261388;-0,036931455;Tierra del Fuego
20 a 24;0,031630275;-0,036109193;Tierra del Fuego
25 a 29;0,030996572;-0,035237272;Tierra del Fuego
30 a 34;0,030357053;-0,034390371;Tierra del Fuego
35 a 39;0,029712385;-0,033561232;Tierra del Fuego
40 a 44;0,029058905;-0,032703232;Tierra del Fuego
45 a 49;0,028349774;-0,03172601;Tierra del Fuego
50 a 54;0,027482998;-0,030460633;Tierra del Fuego
55 a 59;0,02637905;-0,028733221;Tierra del Fuego
60 a 64;0,024992669;-0,026530606;Tierra del Fuego
65 a 69;0,023199587;-0,023706871;Tierra del Fuego
70 a 74;0,020757902;-0,019984273;Tierra del Fuego
75 a 79;0,017458292;-0,015316344;Tierra del Fuego
80 a 84;0,013159386;-0,00998336;Tierra del Fuego
85 a 89;0,008394349;-0,005150261;Tierra del Fuego
90 a 95;0,004309811;-0,002000524;Tierra del Fuego
95 a 99;0,001651039;-0,000543544;Tierra del Fuego
100 +;0,000545403;-0,000113115;Tierra del Fuego
